Name,Height,Weight,BirthDate,BirthPlace
Vanessa_Virgen,1.72,69000.0,1984-07-11,['Manzanillo Colima', 'Mexico']
Vanya_Sokolova,1.89,76000.0,1971-06-22,Bulgaria
Vegard_Høidalen,1.93,94000.0,1971-05-10,['Norway', 'Skien']
Vera_Ulyakina,1.8,73000.0,1986-08-21,['Russia', 'Nizhny Novgorod']
Viktor_Poletaev,1.95,86000.0,1995-07-27,['Russia', 'Chelyabinsk']
Viktor_Yosifov,2.04,100000.0,1985-10-16,Bulgaria
Vladan_Đorđević_(volleyball),1.94,95000.0,1983-01-10,['Serbia', 'Ćuprija', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Vladimir_Grbić,1.93,87000.0,1970-12-14,['Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia', 'Klek (Zrenjanin)']
Vladimir_Nikolov,2.0,95000.0,1977-10-03,['Bulgaria', 'Sofia']
Vladislav_Ivanov_(volleyball),188.0,80000.0,1987-03-14,['Bulgaria', 'Sofia']
Vlado_Petković,1.98,97000.0,1983-01-06,['Kraljevo', "Serbia men's national volleyball team"]
Volkan_Güç,2.02,100000.0,1980-07-16,['Adana', 'Turkey']
Vyacheslav_Zaytsev,1.91,97000.0,1952-11-12,Saint Petersburg
Víctor_Batista,2.0,88000.0,1979-10-02,Tamayo (Dominican Republic)
Şeyma_Ercan,1.86,69000.0,1994-07-05,Ankara
Effrosyni_Sfyri,1.8,67000.0,1971-01-08,['Athens', 'Greece']
Ekaterina_Kosianenko,1.78,64000.0,1990-02-02,['Russia', 'Yekaterinburg']
Elena_Chebukina,1.88,77000.0,1965-10-11,['Kazakhstan', 'Russia', 'Almaty']
Eleonora_Dziękiewicz,1.85,78000.0,['1978-10-15', '1978-10-25'],['Gdańsk', 'Poland']
Elsa_Baquerizo,1.81,68000.0,1987-06-25,New York
Elvis_Contreras,1.9,77000.0,1979-07-20,['Dominican Republic', 'Tamayo (Dominican Republic)']
Elyes_Karamosli,1.94,83000.0,1989-08-22,['Tunisia', 'Hammam-Lif']
Emanuele_Birarelli,2.02,95000.0,1981-02-08,['Italy', 'Senigallia']
Emre_Batur,2.01,89000.0,1988-04-21,['Tokat', 'Turkey']
Enrique_de_la_Fuente,1.95,92000.0,1975-08-11,['Spain', 'Vigo']
Earvin_N'Gapeth,1.94,93000.0,1991-02-12,['Var (department)', 'Saint-Raphaël Var', 'France']
Eri_Hosoda,1.75,66000.0,1984-05-15,['Japan', 'Miwa Aichi']
Erik_Shoji,1.84,83000.0,1989-08-24,['Hawaii', 'Honolulu', 'United States']
Erika_Araki,1.86,80000.0,1984-08-03,['Japan', 'Okayama Prefecture', 'Kurashiki Okayama']
Ernestine_Tiamzon,1.76,56800.0,1997-05-04,['Philippines', 'South Cotabato', 'Koronadal']
Evan_Patak,2.032,113000.0,1984-06-23,['Santa Maria California', "United States men's national volleyball team"]
Evgeni_Ivanov_(volleyball),2.1,98000.0,1974-06-03,['Bulgaria', 'Sofia']
Ewoud_Gommans,2.02,89000.0,1990-11-17,Voorschoten
Ezgi_Dilik,1.7,68000.0,1995-06-12,Ankara
Zara_Dampney,1.778,65000.0,1986-06-10,Christchurch Dorset
Zbigniew_Bartman,1.98,91000.0,1987-05-04,['Poland', 'Warsaw']
Zeng_Chunlei,1.9,69000.0,1989-11-03,['China', 'Beijing']
Zhong_Weijun,2.0,83000.0,1989-04-20,['China', 'Bayi_Changzhi_County']
Zhou_Suhong,1.82,73000.0,1979-04-23,['China', 'Zhejiang']
Zhou_Yuan,1.8,65000.0,1982-12-15,['China', 'Handan', 'Hebei']
Élysée_Ossosso,1.88,86000.0,1967-08-09,['Cameroon', 'Douala']
Luigi_Mastrangelo,2.02,90000.0,1975-08-17,['Italy', 'Mottola']
Luiz_Felipe_Fonteles,1.98,96000.0,1984-06-19,['Brazil', 'Paraná (state)', 'Curitiba']
Lukas_Kampa,1.95,90000.0,1986-11-29,['Germany', 'Bochum']
Lukáš_Diviš,2.01,91000.0,1986-02-20,['Slovakia', 'Žilina']
Lukáš_Ticháček,1.93,84000.0,1982-01-12,['Czech Republic', 'Přerov']
Lyubomir_Ganev,2.1,99000.0,1965-10-06,['Bulgaria', 'Ruse Bulgaria']
Lyubov_Tyurina,1.81,75000.0,1943-04-25,['Moscow', 'Russia']
Lyudmila_Buldakova,1.7018,66225.6,1938-05-25,['Russia', 'Saint Petersburg']
Larissa_França,1.74,68000.0,1982-04-14,['Brazil', 'Cachoeiro de Itapemirim', 'Espírito Santo']
Lars_Lorsheijd,2.0,97000.0,1985-06-08,Leidschendam
Laura_Dijkema,1.84,68000.0,1990-02-18,['Netherlands', 'Assen', 'Beilen']
Laurent_Tillie,1.93,83000.0,1963-12-01,Algiers
Leandro_Vissotto,2.14,98000.0,1983-04-30,['Brazil', 'Rio de Janeiro']
Leigh-Ann_Naidoo,1.81,70000.0,1976-07-12,['Durban', 'South Africa']
Lenka_Dürr,1.71,59000.0,1990-12-10,['Germany', 'Memmingen']
Leonel_Marshall_Jr.,1.96,96000.0,1979-09-25,['Havana', 'Cuba']
Lesya_Makhno,1.88,73000.0,['1981-09-04', '1981-12-04'],['Russia', 'Ukrainian Soviet Socialist Republic', 'Poltava Oblast']
Li_Juan,1.86,73000.0,1981-05-15,['China', 'Tianjin']
Lidia_Chmielnicka-Żmuda,1.7,60000.0,1939-03-08,['Poland', 'Lubliniec']
Liliana_Fernández,1.78,75000.0,1987-01-04,['Spain', 'Benidorm']
Liu_Xiaotong,1.87,72000.0,1990-02-16,['China', 'Beijing', 'Jilin']
Lloy_Ball,2.03,95000.0,1972-02-17,['Fort Wayne Indiana', 'United States', 'Indiana']
Lonneke_Slöetjes,1.92,73000.0,1990-11-15,['Netherlands', 'Varsseveld']
Luca_Vettori,2.0,95000.0,1991-04-26,['Italy', 'Parma']
Lucas_Chávez,1.99,95000.0,1982-04-03,['Buenos Aires', 'Argentina']
Lucas_Lóh,1.95,83000.0,1991-01-18,['Brazil', 'Paraná (state)', 'Toledo Paraná']
Lucas_Saatkamp,2.09,101000.0,1986-03-06,['Brazil', 'Rio Grande do Sul', 'Colinas']
Luciane_Escouto,1.85,73000.0,1987-06-21,['Brazil', 'São Leopoldo']
Luciano_De_Cecco,1.94,89000.0,1988-06-02,['Santa Fe Argentina', 'Argentina']
Santiago_Darraidou,1.94,96000.0,1980-11-24,['Buenos Aires', 'Argentina', 'Federal capital']
Saori_Kimura,1.85,65000.0,1986-08-19,['Japan', 'Saitama Prefecture', 'Yashio Saitama']
Saori_Takahashi,1.77,68000.0,1992-12-09,['Japan', 'Iwate Prefecture', 'Kitakami Iwate']
Saranchit_Charoensuk,1.83,74000.0,1987-07-20,['Thailand', 'Ratchaburi']
Saskia_Hippe,1.86,76000.0,1991-01-16,Berlin
Saša_Starović,2.07,89000.0,1988-10-19,['Socialist Federal Republic of Yugoslavia', 'Trebinje', 'Socialist Republic of Bosnia and Herzegovina']
Sean_Morrison_(beach_volleyball),1.93,77000.0,['1983-04-10', '1983-10-04'],San Fernando Trinidad and Tobago
Sean_Rooney,2.06,100000.0,1982-11-13,['Wheaton Illinois', 'United States']
Sebastian_Kühner,2.03,91000.0,1987-03-15,['Berlin', 'Germany']
Sebastian_Schwarz,1.97,94000.0,1985-10-02,['Germany', 'Freudenstadt']
Sebastian_Świderski,1.93,87000.0,1977-06-26,['Poland', 'Skwierzyna']
Sebastián_Solé,2.02,88000.0,1991-06-12,['Rosario Santa Fe', 'Argentina']
Seiko_Kawamura,1.74,64000.0,1984-05-23,['Japan', 'Yamaguchi Prefecture', 'Hōfu']
Seo_Jae-duck,1.95,98000.0,1989-07-21,Seoul
Serena_Ortolani,1.87,67000.0,1987-01-07,['Italy', 'Ravenna']
Sergey_Antipkin,1.97,92000.0,1986-03-28,['Moscow', 'Russia']
Serhat_Coşkun,1.98,90000.0,1987-07-18,['Tokat', 'Turkey']
Seth_Burnham,2.0,93000.0,1977-05-31,['Santa Cruz California', 'United States']
Shauna_Mullin,1.778,68000.0,1984-09-11,['Johannesburg', 'South Africa']
Shin_Young-chul,1.79,72000.0,1964-03-14,['North Gyeongsang Province', 'Uljin County']
Shuka_Oyama,1.82,65000.0,1980-09-25,['China', 'Fushun', 'Liaoning']
Sidão,2.03,90000.0,1982-07-09,['Brazil', 'São Caetano do Sul']
Simon_Tischer,1.94,89000.0,['1982-04-24', '1988-09-07'],['Germany', 'Schwäbisch Gmünd']
Simone_Giannelli,2.0,92000.0,1996-08-09,['Italy', 'Bolzano']
Simone_Parodi,1.95,93000.0,1986-06-16,['Italy', 'Sanremo']
Sjoerd_Hoogendoorn,1.98,88000.0,1991-02-17,['Netherlands', 'Nieuwegein']
Smilen_Mlyakov,2.0,98000.0,1981-06-17,['Bulgaria', 'Sofia']
Song_Myung-geun,1.95,83000.0,1993-03-12,['South Korea', 'Cheonan']
Srećko_Lisinac,2.05,90000.0,1992-05-17,['Serbia', 'Kraljevo']
Stefana_Veljković,1.9,76000.0,1990-01-09,['Serbia', 'Jagodina']
Stefano_Sibani,1.9,83000.0,1951-10-06,Bologna
Sachiko_Sugiyama,1.84,67000.0,1979-10-19,['Japan', 'Oyama Shizuoka']
Saddem_Hmissi,1.86,75000.0,1991-02-16,['Tunisia', 'Nabeul']
Saeid_Marouf,1.89,81000.0,1985-10-20,['Iran', 'Urmia']
Sam_Deroo,2.02,92000.0,1992-04-24,['Belgium', 'Beveren']
Saman_Faezi,2.04,87000.0,1991-08-23,['Iran', 'Tehran']
Samuel_Tuia,1.95,95000.0,1986-07-24,['Mata-Utu', 'France']
Samuele_Papi,1.91,68000.0,1973-05-20,['Italy', 'Ancona']
Sander_Olsthoorn,2.06,89000.0,1974-07-21,Bunnik
Sanne_Keizer,1.81,71000.0,1985-02-06,['Netherlands', 'Doetinchem']
Strashimira_Filipova,1.95,78000.0,1985-08-18,['Bulgaria', 'Sofia']
Stéphane_Antiga,2.0,94000.0,1976-02-03,['Hauts-de-Seine', 'Suresnes', 'France']
Stéphane_Canet,1.92,85000.0,1971-06-07,['Hyères', 'France']
SuGui_Kriss,1.5748000000000002,58968.0,1987-07-06,['China', 'Kunming', 'Yunnan']
Suo_Ma,1.87,70000.0,1979-12-02,['China', 'Beijing']
Susanne_Lahme,1.86,77000.0,1968-09-10,['East Germany', 'Luckenwalde']
Svetlana_Korytova,1.85,76000.0,1968-03-24,['Russia', 'Yekaterinburg']
Sylwia_Pycia,1.89,78000.0,1981-04-20,['Kraków', 'Poland']
Szymon_Romać,1.96,92000.0,1992-10-01,['Poland', 'Lubin']
Sławomir_Stolc,1.98,78000.0,1993-01-23,['Poland', 'Kościerzyna']
Patryk_Czarnowski,2.02,98000.0,1985-11-01,['Poland', 'Ostróda']
Patryk_Niemiec,2.02,89000.0,1997-02-18,Poland
Paul_Lotman,2.0,93000.0,1985-11-03,['United States', 'Lakewood California']
Pavel_Abramov,2.0,87000.0,1979-04-23,['Moscow', 'Russia']
Pavel_Moroz,2.05,105000.0,1987-02-26,['Soviet Union', 'Ukrainian Soviet Socialist Republic', 'Chervonohrad']
Pavlos_Beligratis,1.84,87000.0,1977-11-16,['Athens', 'Greece']
Paweł_Woicki,1.83,76000.0,1983-06-29,['Poland', 'Tomaszów Mazowiecki']
Paweł_Zagumny,2.0,88000.0,1977-10-18,['Poland', 'Jasło']
Paweł_Zatorski,1.84,73000.0,1990-06-21,['Poland', 'Łódź']
Peny_Karagkouni,0.0,72000.0,1993-07-01,['Athens', 'Greece', 'Marousi']
Petia_Yanchulova,1.78,65000.0,1978-07-03,['Bulgaria', 'Sofia']
Paola_Cardullo,1.62,56000.0,1982-03-18,['Italy', 'Omegna']
Park_Sang-ha,1.98,89000.0,1986-04-04,North Chungcheong Province
Pasquale_Gravina,2.01,102000.0,1970-05-01,['Italy', 'Campobasso']
Patricia_Labee,1.8,67000.0,1977-04-04,['Netherlands', 'Rotterdam']
Philippe_Blain,1.97,89000.0,1960-05-20,['Montpellier', 'France']
Phạm_Thị_Yến,1.77,73000.0,1985-10-20,Vietnam
Pieter_Verhees,2.05,105000.0,1989-12-08,['Belgium', 'Lommel']
Piotr_Badura,2.06,92000.0,1995-02-20,['Poland', 'Tomaszów Mazowiecki']
Piotr_Gacek,1.85,80000.0,['1978-09-16', '1979-09-16'],['Poland', 'Grodków']
Piotr_Gruszka,2.06,100000.0,1977-03-08,['Poland', 'Oświęcim']
Piotr_Lipiński,1.95,86000.0,1979-01-04,['Poland', 'Olsztyn']
Piotr_Nowakowski,2.05,100000.0,1987-12-18,['Poland', 'Żyrardów']
Pisanu_Harnkhomtun,1.94,78000.0,1986-05-01,['Thailand', 'Khon Kaen']
Plamen_Konstantinov,2.02,93000.0,1973-06-14,['Bulgaria', 'Sofia']
Polina_Rahimova,1.98,73000.0,1990-06-05,['Uzbek Soviet Socialist Republic', 'Fergana']
Pouria_Fayazi,1.94,87000.0,1993-01-12,['Tehran', "Iran men's national volleyball team"]
Prabagaran,0.0,76000.0,1998-11-03,['India', 'Puducherry', 'Ariyankuppam']
Prasit_Piladuang,1.86,71000.0,1994-07-07,Thailand
Przemysław_Stępień,1.85,66000.0,1994-02-07,['Poland', 'Iława']
Péter_Veres_(volleyball),2.0,83000.0,1979-02-22,['Hungary', 'Budapest']
Oksana_Kurt,1.84,77000.0,1984-07-28,['Baku', 'Azerbaijan Soviet Socialist Republic']
Olesia_Rykhliuk,1.94,70000.0,1987-12-11,['Ukraine', 'Kiev']
Olga_Fateeva,1.9,72000.0,1984-05-04,['Ukraine', 'Pavlohrad']
Olieg_Achrem,1.91,95000.0,1983-03-12,['Belarus', 'Grodno']
Oliver_Venno,2.1,105000.0,1990-05-23,['Tartu', 'Estonia']
Omar_Agrebi,2.05,85000.0,1992-08-26,['Tunisia', 'Sfax']
Yu_Koshikawa,1.89,86000.0,1984-06-30,['Japan', 'Ishikawa Prefecture', 'Kanazawa']
Yuka_Sakurai,1.67,62000.0,1974-09-02,['Japan', 'Kaizu']
Yuki_Ishii,1.8,68000.0,1991-05-08,['Japan', 'Okayama Prefecture', 'Kurashiki Okayama']
Yuki_Ishikawa,1.8,69000.0,1997-04-26,['Japan', 'Saitama Prefecture', 'Ageo Saitama']
Yuki_Kawai,1.68,62000.0,1990-01-22,['Japan', 'Ōita Prefecture', 'Hiji Ōita']
Yuki_Tanaka,1.75,63000.0,1981-08-19,['Japan', 'Saitama Prefecture', 'Kawaguchi Saitama']
Yukiko_Ebata,1.76,68000.0,1989-11-07,['Japan', 'Akita Prefecture', 'Akita Akita']
Yuko_Maruyama,1.77,65000.0,1989-09-17,['Japan', 'Matsumoto Nagano', 'Nagano Prefecture']
Yuko_Suzuki,1.71,60000.0,1989-08-12,['Japan', 'Musashimurayama Tokyo']
Yumiko_Tsuzuki,1.75,61000.0,1983-05-11,['Japan', 'Okazaki Aichi', 'Aichi Prefecture']
Yumilka_Ruiz,1.79,62000.0,1978-05-08,['Havana', 'Cuba']
Yvon_Beliën,1.88,70000.0,1993-12-28,['Netherlands', 'Budel']
Yūka_Imamura,1.75,70000.0,1993-09-02,['Japan', 'Tokyo', 'Arakawa Tokyo']
Yūki_Ishikawa,1.91,74000.0,1995-12-11,['Japan', 'Aichi Prefecture']
Yamato_Fushimi,2.07,118000.0,1991-12-24,['Japan', 'Shizuoka Prefecture', 'Shizuoka Shizuoka']
Yana_Shcherban,1.88,71000.0,1989-09-06,['Bishkek', 'Russia']
Yang_Fangxu,1.9,75000.0,1994-10-06,['China', 'Shandong']
Yang_Jie,1.94,72000.0,1994-03-01,['China', 'Shanghai']
Yannick_van_Harskamp,1.9,88000.0,1986-04-02,Zwartsluis
Yao_Di,1.82,65000.0,1992-08-15,['China', 'Tianjin']
Yarleen_Santiago,1.82,72000.0,1978-01-18,Río Piedras Puerto Rico
Yeliz_Başa,1.88,79000.0,1987-08-13,['Beykoz', 'Istanbul']
Yevgeniya_Startseva,1.85,68000.0,1989-02-12,['Russia', 'Chelyabinsk']
Yin_Na,1.82,65000.0,1988-02-03,['China', 'Tianjin']
Yndys_Novas,1.86,71000.0,1977-11-07,Santo Domingo
Yonkaira_Peña,1.9,70000.0,['1993-05-10', '1993-10-05'],['Dominican Republic', 'Santo Domingo']
Yoshie_Takeshita,1.59,53000.0,1978-03-18,['Japan', 'Fukuoka Prefecture', 'Kitakyushu']
Yoshiko_Yano,1.83,81000.0,1985-08-01,['Japan', 'Miyazaki Prefecture', 'Kitamorokata District Miyazaki']
Yosleider_Cala,2.04,98000.0,1984-10-22,['Ciego de Ávila', 'Cuba']
Francien_Huurman,1.92,80000.0,1975-04-18,['Netherlands', 'South Holland', 'Pijnacker']
Frank_Constandse,1.92,76000.0,1946-05-31,Voorburg
Frank_Depestele,1.91,93000.0,1977-09-03,Belgium
Furkan_Yalçınkaya,1.99,90000.0,1986-08-12,['Istanbul', 'Turkey']
Fabian_Drzyzga,1.96,90000.0,1990-01-03,['Bordeaux', 'France']
Fabio_Innocenti,1.84,73000.0,1950-02-22,Pontedera
Fabrizio_Nassi,1.85,76000.0,1951-08-05,Pontedera
Fabíola_de_Souza,1.84,70000.0,1983-02-03,Brasília
Facundo_Conte,1.98,85000.0,1989-08-25,['Buenos Aires', 'Argentina']
Farhad_Ghaemi,1.97,73000.0,1989-08-28,['Iran', 'Gonbad-e Kavus', 'Gonbad']
Farhad_Nazari_Afshar,1.95,82000.0,1984-05-22,['Iran', 'Tehran']
Farhad_Piroutpour,1.95,95000.0,1991-02-21,['Iran', 'Mahabad']
Farhad_Zarif,1.69,60000.0,1983-03-03,Mashhad
Femke_Stoltenborg,1.89,81000.0,1991-07-30,['Netherlands', 'Winterswijk']
Feng_Kun,1.83,75000.0,1978-12-28,['China', 'Beijing']
Ferdinand_Tille,1.85,70000.0,1988-12-08,['West Germany', 'Mühldorf']
Fernando_Morales_(volleyball),1.94,93000.0,1982-02-04,San Juan Puerto Rico
Filip_Vujić,1.91,85000.0,1989-10-17,['Serbia', 'Belgrade', 'Socialist Federal Republic of Yugoslavia', 'Socialist Republic of Serbia']
Filippo_Lanza,1.94,98000.0,1991-03-03,['Italy', 'Zevio']
Flávio_Cruz,1.95,86000.0,1982-08-28,Portugal
Francesca_Ferretti,1.8,70000.0,1984-02-15,['Italy', 'Reggio Emilia']
Francesca_Piccinini,1.85,62000.0,1979-01-10,['Italy', 'Massa']
Chaïne_Staelens,1.94,77000.0,1980-11-07,['Belgium', 'Kortrijk']
Chen_Liyi,1.84,75000.0,1989-04-27,['China', 'Tianjin']
Chihiro_Kato,1.78,61000.0,1988-11-22,['Japan', 'Kanagawa Prefecture', 'Fujisawa Kanagawa']
Chizuru_Kotō,1.71,64000.0,1982-10-08,['Nagasaki Prefecture', 'Nagayo Nagasaki', 'Nishisonogi District Nagasaki']
Chloe_Mann,1.89,75000.0,1990-11-12,['United States', 'Florida']
Christian_Dünnes,2.07,105000.0,1984-06-16,['Germany', 'Siegen']
Christian_Fromm,2.04,99000.0,1990-08-15,['Berlin', 'Germany']
Christina_Bauer,1.96,79000.0,1988-01-01,['Norway', 'Bergen']
Ciara_Michel,1.95,70000.0,['1985-07-02', '2985-07-02'],['Somerset', 'Taunton']
Cinthia_Piñeiro,1.83,60000.0,1986-02-04,['Dominican Republic', 'Santo Domingo']
Claudio_Di_Coste,2.07,100000.0,1954-08-13,Rome
Clayton_Stanley,2.05,104000.0,['1978-01-20', '1978-01-30'],['Honolulu', 'United States']
Colin_Pocock,1.95,107000.0,1972-06-11,['Zimbabwe', 'Harare']
Cristina_Chirichella,1.95,75000.0,1994-02-10,['Italy', 'Naples']
Carlijn_Jans,1.92,77000.0,1987-07-24,Breda
Carmela_Tunay,1.71,66000.0,1995-06-08,['Philippines', 'Manila']
Casey_Jennings,1.905,86184.0,1975-07-10,['Las Vegas', 'United States']
Caterina_Bosetti,1.8,65000.0,1994-02-02,['Italy', 'Busto Arsizio', 'Tradate']
Celeste_Plak,1.9,84000.0,1995-10-26,['Netherlands', 'Tuitjenhorn']
Ceyda_Aktaş,1.89,77000.0,1994-08-18,Ankara
Ulaş_Kıyak,1.87,82000.0,1981-08-11,['Samsun', 'Turkey']
Łukasz_Kozub,1.86,90000.0,1997-11-03,Poland
Łukasz_Perłowski,2.04,97000.0,1984-04-03,['Poland', 'Strzyżów']
Łukasz_Polański,2.05,94000.0,1989-01-29,['Poland', 'Warsaw']
Łukasz_Wiśniewski,1.98,93000.0,1989-02-03,['Poland', 'Włodawa']
Łukasz_Żygadło,2.01,91000.0,1979-08-02,['Poland', 'Sulechów']
Jerónimo_Bidegain,2.0,93000.0,1977-01-16,['Buenos Aires', 'Argentina']
Jiao_Shuai,1.94,75000.0,1984-01-28,['Zhengzhou', 'Henan']
Jimmy_George,1.87,78000.0,1955-03-08,['India', 'Kannur', 'Peravoor', 'Kerala']
Jirayu_Raksakaew,1.96,82000.0,1987-08-03,['Thailand', 'Nakhon Si Thammarat']
Jiří_Kovář,2.02,95000.0,1989-04-10,['Czechoslovakia', 'Zlín']
Joanna_Kaczor,1.91,72000.0,1984-09-16,['Poland', 'Wrocław']
Joanna_Mirek,1.86,68000.0,1977-02-17,['Poland', 'Myślenice']
Jochem_de_Gruijter,1.99,92000.0,1978-04-18,Leidschendam
Jochen_Schöps,2.0,100000.0,1983-10-08,['Germany', 'Villingen-Schwenningen']
Johan_López,2.01,100000.0,1989-04-16,Río San Juan María Trinidad Sánchez
James_Polster,1.98,100000.0,1979-02-08,['Saint Paul Minnesota', 'United States']
Jan_Nowakowski,2.02,95000.0,1994-05-17,Poland
Jan_Willem_Snippe,2.0,94000.0,1986-05-21,Heemskerk
Jasper_Diefenbach,1.95,90000.0,1988-03-17,Dordrecht
Jayson_Jablonsky,1.98,91000.0,1985-07-23,Orange California
Jelte_Maan,1.9,86000.0,1986-03-19,Lochem
Jenia_Grebennikov,1.88,72000.0,1990-08-13,['Rennes', 'France']
Jeroen_Rauwerdink,2.0,92000.0,1985-09-13,Zeist
Jeroen_Trommel,1.94,93000.0,['1980-08-01', '1981-08-01'],['Netherlands', 'Apeldoorn']
Joppe_Paulides,2.03,85000.0,1982-04-13,Noordwijkerhout
Joris_Marcelis,2.11,100000.0,1984-12-10,Heteren
Joshua_Slack,1.91,88000.0,1976-12-16,['Brisbane', 'Australia']
José_Martínez_(volleyball),2.0,100000.0,1993-01-23,Tijuana
José_Miguel_Cáceres,2.1,98000.0,1981-12-24,['Dominican Republic', 'Tamayo (Dominican Republic)']
Jovana_Brakočević,1.96,77000.0,1988-03-05,['Zrenjanin', 'Socialist Federal Republic of Yugoslavia']
Judith_Pietersen,1.88,67000.0,1989-07-03,['Netherlands', 'Eibergen']
Julia_Willand,1.78,69000.0,1972-04-06,['Nuremberg', 'West Germany']
Julien_Lyneel,1.92,85000.0,1990-04-15,['Montpellier', 'France']
Jungo_Morita,1.94,85000.0,1947-08-09,['Japan', 'Tokyo']
Junichi_Kuriuzawa,1.93,75000.0,1965-02-25,['Japan', 'Ōfunato']
Jurij_Gladyr,2.02,96000.0,1984-07-08,['Soviet Union', 'Ukraine', 'Poltava']
Jørre_Kjemperud,1.88,85000.0,1968-08-31,['Norway', 'Vikersund']
Jędrzej_Gruszczyński,1.83,73000.0,1997-11-13,Poland
Jędrzej_Maćkowiak,1.98,86000.0,1992-10-17,['Poland', 'Bełchatów']
Jaanus_Nõmmsalu,2.0,100000.0,1981-01-19,['Pärnu', 'Estonia']
Jacques_Yoko,1.97,88000.0,1972-04-29,['Paris', 'France']
Jairo_Hooi,2.01,88000.0,1978-03-13,Winterswijk
Jakub_Bednaruk,1.88,90000.0,1976-09-09,['Poland', 'Bielsko-Biała']
Jakub_Jarosz,1.97,94000.0,1987-02-10,['Poland', 'Nysa Poland']
Jakub_Kochanowski,1.99,84000.0,1997-07-17,['Poland', 'Giżycko']
Jakub_Novotný,1.96,86000.0,1979-04-20,['Czech Republic', 'Sokolov Czech Republic']
Jakub_Oczko,1.93,85000.0,1981-12-27,['Poland', 'Miedźna']
Jakub_Popiwczak,1.8,70000.0,1996-04-17,['Legnica', 'Poland']
Jakub_Szymański,1.98,80000.0,1998-03-25,Poland
Jakub_Ziobrowski,2.01,98000.0,1997-01-23,Poland
Rob_Bontje,2.06,94000.0,1981-05-12,['Limburg (Netherlands)', 'Grevenbicht']
Robbert_Andringa,1.92,85000.0,1990-04-28,Assen
Robert_Horstink,2.01,92000.0,1981-12-26,Twello
Robert_Nowotny,1.85,83000.0,1974-01-27,['Vienna', 'Austria']
Robert_Prygiel,2.0,100000.0,['1976-04-14', '1976-04-17'],['Poland', 'Radom']
Robert_Szczerbaniuk,1.99,89000.0,1977-05-29,['Poland', 'Wrocław']
Robert_Täht,1.91,82000.0,1993-08-15,['Võru', 'Estonia']
Robertlandy_Simón,2.06,112000.0,1987-06-11,['Guantánamo', 'Cuba']
Roberto_Reis,1.87,82000.0,1980-03-02,['Esmoriz', "Portugal men's national volleyball team"]
Robin_Overbeeke,1.98,92000.0,1989-03-21,Leidschendam
Robin_de_Kruijf,1.93,81000.0,1991-05-05,['Netherlands', 'Nieuwegein']
